id,title,category,sub_category,grade,completeness,missing_fields,cover_file,cover_url,body_len,history_len
639487df-9bc9-f7b8-ef92-a97cb889353f,中国书法,intangible,art_calligraphy,D,18%,cover_url|history|influence|faq|related_people|related_books|related_articles|related_events|cover_file,✗,,147,0
c27afff4-775a-f6b9-4deb-54b82c0afc44,中国古代天文学,technology,tech_astronomy,D,18%,cover_url|history|influence|faq|related_people|related_books|related_articles|related_events|cover_file,✗,,381,0
c70f0f0b-5b99-7e22-3c35-2336b6d0823b,山东快书,intangible,ich_quyi,D,18%,cover_url|history|influence|faq|related_people|related_books|related_articles|related_events|cover_file,✗,,96,0
1235ee99-8bcb-9d5e-9839-93825e9418e3,粤绣,intangible,ich_craft,D,18%,cover_url|history|influence|faq|related_people|related_books|related_articles|related_events|cover_file,✗,,134,0
c1a8f5c7-8fa5-2598-3ffa-da61663c1df2,二胡,intangible,ich_music,D,18%,cover_url|history|influence|faq|related_people|related_books|related_articles|related_events|cover_file,✗,,143,0
4d700d4e-9e23-f356-8a00-3a10fdef3c45,京剧,intangible,art_opera,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/%E4%BA%8C%E8%BF%9B%E5%AE%AB143054.jpg/330px-%E4%BA%8C%E8%BF%9B%E5%AE%AB143054.jpg,96,0
6a0bf8d7-5b58-b17e-f813-fe39983208e5,昆曲,intangible,art_opera,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Pekinguniversitykunqu5.jpg/330px-Pekinguniversitykunqu5.jpg,126,0
a9d38451-2c12-160a-fa36-09d505a82627,中国画,intangible,art_painting,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Emperor_Huizong_of_Song_-_Finch_on_a_bamboo_branch_-_detail.jpg/330px-Emperor_Huizong_of_Song_-_Finch_on_a_bamboo_branch_-_detail.jpg,301,0
234d96be-580d-4acb-6a0c-a4c69f532800,古琴,intangible,art_music,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/ZhongNiShi.jpg/330px-ZhongNiShi.jpg,140,0
00886015-65af-c94c-63b9-6692b4c20127,剪纸,intangible,craft_paper,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Chinese_paper_cutting-Pig.jpg/330px-Chinese_paper_cutting-Pig.jpg,49,0
0e5e8e3e-20e0-4677-c07a-1aadabf949cc,皮影戏,intangible,craft_shadow,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/OFB-Qianlongsatz03-Krieger.JPG/330px-OFB-Qianlongsatz03-Krieger.JPG,89,0
2f95195a-11b1-eaa8-7d76-ceb3fc3d6530,刺绣,intangible,craft_embroidery,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/20260215_Jianhe_Miao_female_clothing_in_the_Liuzhou_Museum.jpg/330px-20260215_Jianhe_Miao_female_clothing_in_the_Liuzhou_Museum.jpg,108,0
d2121191-628e-ea2f-aa87-5dc903888929,北京故宫,artifacts,building_palace,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/%E6%99%AF%E5%B1%B1%E5%85%AC%E5%9B%AD_%2819687188164%29.jpg/330px-%E6%99%AF%E5%B1%B1%E5%85%AC%E5%9B%AD_%2819687188164%29.jpg,281,0
da195f75-33f9-1169-4d99-2125c8880037,天坛,artifacts,building_temple,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Temple_of_Heaven_20160323_01.jpg/330px-Temple_of_Heaven_20160323_01.jpg,100,0
3fd72d76-d332-6774-089d-bc944271161f,苏州古典园林,artifacts,building_garden,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Humble_Administrator%27s_Garden_Suzhou_November_2017_006.jpg/330px-Humble_Administrator%27s_Garden_Suzhou_November_2017_006.jpg,72,0
4bf88ab5-7db7-d69d-2f54-208ae147b52a,长城,artifacts,building_great_wall,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/330px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg,151,0
8fe06189-93e3-f38a-6565-65ffd649adb2,布达拉宫,artifacts,building_palace,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Potala_palace23.jpg/330px-Potala_palace23.jpg,294,0
a67c4840-ad34-80cf-c0fa-8ca3c0fca2f8,颐和园,artifacts,building_garden,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/%E9%A2%90%E5%92%8C%E5%9B%AD%E4%B8%87%E5%AF%BF%E5%B1%B1%E4%BD%9B%E9%A6%99%E9%98%81.jpg/330px-%E9%A2%90%E5%92%8C%E5%9B%AD%E4%B8%87%E5%AF%BF%E5%B1%B1%E4%BD%9B%E9%A6%99%E9%98%81.jpg,172,0
07f7de73-3b12-cdfb-d8f3-af8db8779bd8,鲁菜,lifestyle,cuisine_lu,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/8/8d/ChineseDishLogo.png,91,0
54e30f5e-7d50-c047-d4e4-9dff202e3f40,川菜,lifestyle,cuisine_chuan,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/8/8d/ChineseDishLogo.png,147,0
e7c15cc2-dca1-94c7-8e4f-dffed8388012,粤菜,lifestyle,cuisine_yue,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/8/8d/ChineseDishLogo.png,352,0
679ecccf-98cb-1cbd-e875-085fc9a9a600,茶,lifestyle,drink_tea,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Longjing_tea_steeping_in_gaiwan.jpg/330px-Longjing_tea_steeping_in_gaiwan.jpg,67,0
60b61151-7769-d761-7371-f473bcc7f266,汉服,lifestyle,clothing_hanfu,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Gu_Hongzhong%27s_Night_Revels%2C_Detail_1.jpg/330px-Gu_Hongzhong%27s_Night_Revels%2C_Detail_1.jpg,54,0
0fe90445-4d93-af46-5d93-52d310a4e37a,旗袍,lifestyle,clothing_qipao,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Woman_in_Qipao_in_Toen.jpg/330px-Woman_in_Qipao_in_Toen.jpg,64,0
025aa62d-5c4e-f277-5fd7-89052a83296a,造纸术,technology,tech_paper,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Cai-lun.jpg/330px-Cai-lun.jpg,106,0
a8ad59a9-7258-18b8-d558-afd81aeac552,活字印刷术,technology,tech_printing,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Metal_movable_type.jpg/330px-Metal_movable_type.jpg,56,0
fa054ad8-8364-9eb0-385b-d98a2c91beaa,火药,technology,tech_gunpowder,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Black_Powder-1.JPG/330px-Black_Powder-1.JPG,199,0
d3eee649-f7af-21f1-5cf7-b245332ce4a4,指南针,technology,tech_compass,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/2016_Busola.JPG/330px-2016_Busola.JPG,67,0
958fdcd4-5eeb-9532-4bb2-683ff8f51b66,中医,technology,tech_medicine,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Yin_yang.svg/langzh-330px-Yin_yang.svg.png,59,0
b7a496e5-0898-990b-11a4-d90b3334564b,越剧,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Shaoxing_opera_performance.jpg/330px-Shaoxing_opera_performance.jpg,87,0
2dfad093-60c5-3329-933e-cb3d2ad7738a,黄梅戏,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/HuangmeiOpera.jpg/330px-HuangmeiOpera.jpg,328,0
d4765709-7f09-88f1-3bda-1a910c23c9f9,豫剧,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Xiquyuju.jpg/330px-Xiquyuju.jpg,389,0
697abf33-d696-5fd4-d36c-3a3b690d264a,评剧,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Taohuaan%2C_Pingju.jpg/330px-Taohuaan%2C_Pingju.jpg,51,0
a85a6671-ff0c-9ac8-baab-c8c82b402ed6,秦腔,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/YisuQing.jpg/330px-YisuQing.jpg,208,0
094b4edf-e5dc-3a3c-2a8d-9957e7c42dd2,川剧,intangible,ich_drama,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Sichuan_Opera.jpg/330px-Sichuan_Opera.jpg,169,0
f63f3235-1f5c-2106-cf16-5a529d047131,相声,intangible,ich_quyi,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/%E5%A4%A9%E6%B4%A5%E5%90%8D%E6%B5%81%E8%8C%B6%E9%A6%86%E7%9A%84%E7%9B%B8%E5%A3%B0%E8%A1%A8%E6%BC%94.jpg/330px-%E5%A4%A9%E6%B4%A5%E5%90%8D%E6%B5%81%E8%8C%B6%E9%A6%86%E7%9A%84%E7%9B%B8%E5%A3%B0%E8%A1%A8%E6%BC%94.jpg,36,0
89cfc70f-1031-de68-39a3-ba575b75489c,苏州评弹,intangible,ich_quyi,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/%E8%AF%84%E5%BC%B9.jpg/330px-%E8%AF%84%E5%BC%B9.jpg,46,0
4cbe69ed-c649-316a-71cb-1ae5c8821e5c,京韵大鼓,intangible,ich_quyi,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/%E4%BA%AC%E9%9F%B5%E5%A4%A7%E9%BC%93.jpg/330px-%E4%BA%AC%E9%9F%B5%E5%A4%A7%E9%BC%93.jpg,75,0
99df9a0f-39e6-67af-5e85-0a68f2f6ebcb,中国书法,intangible,ich_art,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/LantingXu_Shenglongben.jpg/330px-LantingXu_Shenglongben.jpg,158,0
cdad4d20-794e-e7ea-8e44-739c9145f641,篆刻,intangible,ich_art,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/King_of_Na_gold_seal_imprint.svg/langzh-330px-King_of_Na_gold_seal_imprint.svg.png,71,0
43e39382-420b-d788-e7f3-0d0257f717c0,景德镇陶瓷,intangible,ich_craft,D,36%,history|influence|faq|related_people|related_books|related_articles|related_events,✗,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Jingdezhentaolu.jpg/330px-Jingdezhentaolu.jpg,81,0
