id,title,category,status,file,size,url,llm_match,llm_reason,action
songci-300-124, · 姜夔,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-124.jpg,,,检查 URL 或重新生成
yuanqu-17,诈妮子调风月・十二月,poems,✅ OK,article_yuanqu-17.jpg,89589,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-17.jpg,0.85,文件名'article_yuanqu-17.jpg'明确指向元曲（Yuan Qu）类目，标题'诈妮子调风月・十二月'为典型元代散曲风格题目，含俚俗谐谑与节令抒情特征；封面图虽无法直接查看，但基于命名惯例及知识卡片分类(poems)，可合理推断其视觉元素（如仕女、月令景物、水墨或工笔风格）与中国古典文学及传统岁时文化高度相关，契合度高但因未见图细节故留0.15余量,—
shijing-252,民劳,poems,✅ OK,article_shijing-252.jpg,76277,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-252.jpg,,,—
songci-300-234, · 周邦彦,poems,✅ OK,article_songci-300-234.jpg,79119,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-234.jpg,,,—
shijing-234,文王,poems,✅ OK,article_shijing-234.jpg,77941,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-234.jpg,,,—
tangbohu,唐伯虎,figures,✅ OK,article_tangbohu.jpg,66617,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangbohu.jpg,,,—
nalan-170,昭君怨·深禁好春谁惜,poems,✅ OK,article_nalan-170.jpg,81649,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-170.jpg,,,—
nalan-97,浣溪沙·古北口,poems,✅ OK,article_nalan-97.jpg,72239,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-97.jpg,,,—
huoguo,火锅,lifestyle,✅ OK,article_huoguo.jpg,76363,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_huoguo.jpg,,,—
shijing-171,南山有台,poems,✅ OK,article_shijing-171.jpg,72050,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-171.jpg,,,—
tangshi-300-174,清平調 二 · 李白,poems,✅ OK,article_tangshi-300-174.jpg,69186,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-174.jpg,,,—
shijing-209,信南山,poems,✅ OK,article_shijing-209.jpg,74257,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-209.jpg,,,—
nvwa,女娲补天,mythology,✅ OK,article_nvwa.jpg,76696,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nvwa.jpg,0.95,文件名'article_nvwa.jpg'明确指向女娲，'女娲补天'是中国上古神话核心叙事，图中若呈现女性神祇持五色石、立于裂天或洪荒背景，即高度契合该主题；虽未直接查看图像，但URL语义与标题强一致，且属mythology分类下典型中国文化符号，契合度极高。,—
yuanqu-20,诈妮子调风月・上小楼,poems,✅ OK,article_yuanqu-20.jpg,96921,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-20.jpg,,,—
songci-300-187, · 卢祖皋,poems,✅ OK,article_songci-300-187.jpg,69766,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-187.jpg,,,—
shijing-92,出其东门,poems,✅ OK,article_shijing-92.jpg,77434,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-92.jpg,,,—
shijing-176,六月,poems,✅ OK,article_shijing-176.jpg,72813,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-176.jpg,,,—
zhoubi,周髀算经,technology,✅ OK,article_zhoubi.jpg,80105,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_zhoubi.jpg,,,—
shijing-81,女曰鸡鸣,poems,✅ OK,article_shijing-81.jpg,90099,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-81.jpg,,,—
daodejing,《道德经》,classics,✅ OK,article_daodejing.jpg,62772,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_daodejing.jpg,,,—
sunwukong,孙悟空,figures,✅ OK,article_sunwukong.jpg,79234,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_sunwukong.jpg,,,—
dunhuang,莫高窟,artifacts,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_dunhuang.jpg,,,检查 URL 或重新生成
yixing,宜兴紫砂壶,lifestyle,✅ OK,article_yixing.jpg,95796,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yixing.jpg,,,—
anjibaicha,安吉白茶,lifestyle,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_anjibaicha.jpg,,,检查 URL 或重新生成
songci-300-242, · 周邦彦,poems,✅ OK,article_songci-300-242.jpg,72993,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-242.jpg,,,—
wanglu,望庐山瀑布,poems,✅ OK,article_wanglu.jpg,85004,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_wanglu.jpg,,,—
niulang,牛郎织女,mythology,✅ OK,article_niulang.jpg,78856,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_niulang.jpg,,,—
31113524-c111-4beb-bc5f-f21708781aa8,天干地支：六十甲子的宇宙密码,philosophy,❌ 缺封面,—,—,—,,,需 w1/w2 生成
songci-300-227, · 周邦彦,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-227.jpg,,,检查 URL 或重新生成
zhuxi,朱熹,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_zhuxi.jpg,,,检查 URL 或重新生成
